1/3/21 12.00 AM;6.35;3.28;0.07;3.85;13;0;0;0;0;0;0;0;0;0;0
1/3/21 6.00 AM;13.68;4.97;0.52;6.24;27;0;13;0;0;0;0;0;0;0;0
1/3/21 8.00 AM;11.97;19.66;3.33;25.23;24;30;0;8;8;0;0;0;0;0;0
1/3/21 10.00 AM;17.83;18.45;4.11;25.21;36;30;13;0;0;0;0;0;0;24;43
1/3/21 12.00 PM;16.61;10.24;2.09;13.90;33;30;0;0;0;0;0;0;0;24;0
1/3/21 2.00 PM;47.62;12.75;3.45;18.50;95;30;13;0;0;0;0;0;0;0;43
1/3/21 4.00 PM;23.69;13.61;4.07;20.31;47;0;13;0;0;0;0;0;0;24;0
1/3/21 6.00 PM;16.36;18.52;2.89;23.41;33;30;0;0;0;0;0;0;0;0;0
1/3/21 8.00 PM;19.05;27.54;1.94;30.98;38;0;13;8;8;18;18;0;0;0;43
1/3/21 10.00 PM;20.76;19.62;0.72;21.18;42;30;0;0;0;18;0;0;0;0;0
2/3/21 12.00 AM;24.42;6.57;0.05;7.11;49;0;13;0;0;18;18;0;0;24;43
2/3/21 4.00 AM;25.15;3.33;0.07;3.89;50;30;0;0;0;18;0;0;0;0;43
2/3/21 6.00 AM;17.09;10.86;0.77;12.52;34;30;0;0;0;0;18;0;0;0;43
2/3/21 8.00 AM;14.41;53.00;31.58;101.88;51;0;13;0;0;0;18;0;0;0;43
2/3/21 10.00 AM;21.49;37.81;18.09;66.01;43;0;13;0;0;0;18;0;0;0;43
2/3/21 12.00 PM;27.59;16.80;5.14;25.15;55;0;0;0;0;18;18;0;0;24;0
2/3/21 2.00 PM;30.04;10.78;2.91;15.71;60;0;0;0;0;18;18;0;0;0;0
2/3/21 4.00 PM;55.19;12.65;2.95;17.64;110;0;13;0;0;18;18;0;0;24;0
2/3/21 6.00 PM;33.94;34.66;8.90;48.76;68;0;0;0;0;18;18;0;0;0;43
2/3/21 8.00 PM;25.64;66.21;15.84;90.95;51;0;0;0;0;18;18;0;0;0;0
2/3/21 10.00 PM;30.04;40.18;5.42;48.95;60;0;0;0;0;18;0;0;0;24;43
3/3/21 12.00 AM;39.56;12.41;0.24;13.23;79;0;0;0;0;18;0;0;0;0;0
3/3/21 2.00 AM;42.49;5.68;0.10;6.30;85;0;0;0;0;18;18;0;0;24;0
3/3/21 4.00 AM;38.10;5.37;0.53;6.65;76;0;0;0;0;0;18;0;0;0;0
3/3/21 6.00 AM;31.99;7.43;0.40;8.50;64;0;0;0;0;18;18;0;0;24;0
3/3/21 8.00 AM;27.35;28.31;5.24;36.81;55;0;0;0;0;18;18;0;0;0;0
3/3/21 10.00 AM;30.28;26.21;5.58;35.23;61;0;0;0;0;18;18;0;0;0;43
3/3/21 12.00 PM;26.62;13.49;3.67;19.58;53;0;0;0;0;0;18;0;0;0;0
3/3/21 2.00 PM;51.53;12.01;2.63;16.51;103;30;13;0;0;18;18;14;12;24;0
