Parm,PM10,NO2,NO,NOX,IQA
01/01/2021 02:00,34,8.66,0.14,9.34,68
01/01/2021 08:00,21,6.66,0.06,7.21,43
01/01/2021 10:00,16,6.53,0.58,7.89,32
01/01/2021 12:00,15,6.04,0.84,7.79,30
01/01/2021 14:00,12,8.48,1.42,11.12,25
01/01/2021 16:00,13,4.92,0.21,5.7,26
01/01/2021 18:00,13,17.1,2.81,21.87,44
01/01/2021 20:00,21,28.2,8.64,41.91,84
01/01/2021 22:00,34,20.88,3.13,26.15,69
02/01/2021 00:00,34,13.37,2.39,17.49,68
02/01/2021 02:00,34,4.84,0.46,6,68
02/01/2021 04:00,20,4.9,1.66,7.91,41
02/01/2021 06:00,20,12.5,2.64,17.01,39
02/01/2021 08:00,13,13.31,1.42,15.95,32
02/01/2021 10:00,9,11.11,1.32,13.59,27
02/01/2021 12:00,20,7.78,1.23,10.14,40
02/01/2021 14:00,11,8.13,1.33,10.64,23
02/01/2021 16:00,9,4.63,0.45,5.78,18
02/01/2021 18:00,11,9.57,0.6,10.95,22
02/01/2021 20:00,12,14.98,1.58,17.87,36
02/01/2021 22:00,7,24.23,4.77,32,64
03/01/2021 00:00,5,14.8,1.06,16.89,34
03/01/2021 02:00,18,3.74,0.21,4.53,36
03/01/2021 04:00,35,1.29,0.07,1.87,70
03/01/2021 06:00,18,2.8,0.31,3.74,35
03/01/2021 08:00,27,7.82,0.54,9.12,53
03/01/2021 10:00,13,9.21,1.26,11.61,26
03/01/2021 12:00,9,10.16,2.28,14.11,28
03/01/2021 14:00,9,8.84,0.82,10.56,21
03/01/2021 16:00,14,7.84,0.35,8.83,28
03/01/2021 18:00,13,21.9,1.04,23.96,48
03/01/2021 20:00,12,32.32,6.04,42.04,84
03/01/2021 22:00,35,18.57,2.23,22.46,70
04/01/2021 00:00,22,19.03,2.84,23.84,48
04/01/2021 02:00,27,4.26,0.18,4.99,54
04/01/2021 04:00,14,6.19,0.48,7.39,29
04/01/2021 06:00,15,8.2,0.27,9.08,29
04/01/2021 08:00,10,39.93,18.51,68.76,138
04/01/2021 10:00,10,28.56,6.99,39.73,79
04/01/2021 12:00,17,30.55,9.89,46.17,92
04/01/2021 14:00,21,23.69,8.53,37.23,74
04/01/2021 16:00,17,26.77,7.06,38.05,76
04/01/2021 18:00,16,53.67,69.42,160.58,321
04/01/2021 20:00,30,42.52,10.12,58.49,117
04/01/2021 22:00,45,13.67,0.83,15.41,90
05/01/2021 00:00,28,4.07,0,4.54,57
05/01/2021 02:00,19,2.62,0.01,3.09,38
05/01/2021 06:00,47,6.37,0.24,7.19,94
05/01/2021 08:00,23,25.07,3.6,31.06,62
05/01/2021 10:00,12,27.34,14.25,49.66,99
05/01/2021 12:00,20,12.32,2.74,16.99,40
05/01/2021 14:00,18,8.67,1.58,11.57,36
05/01/2021 16:00,43,12.54,0.78,14.2,87
05/01/2021 18:00,22,23.45,2.64,27.96,56
05/01/2021 20:00,11,38.04,5.28,46.59,93
05/01/2021 22:00,5,19.38,1.3,21.84,44
06/01/2021 00:00,8,5.7,0.15,6.39,16
06/01/2021 02:00,9,2.7,0.03,3.21,18
06/01/2021 04:00,11,3.85,0.25,4.7,22
06/01/2021 06:00,12,9.53,3.35,15.13,30
06/01/2021 08:00,15,7.82,0.08,8.41,31
06/01/2021 10:00,22,19.42,7.85,31.92,64
06/01/2021 12:00,24,11.32,1.88,14.66,49
06/01/2021 14:00,24,13.19,1.37,15.75,48
06/01/2021 16:00,35,8.06,0.42,9.17,69
06/01/2021 18:00,28,15.06,1.05,17.14,57
06/01/2021 20:00,36,26.6,2.57,31.01,73
06/01/2021 22:00,33,25.42,1.81,28.66,66
07/01/2021 00:00,31,12.01,1.85,15.31,61
07/01/2021 02:00,23,3.56,0.04,4.08,46
07/01/2021 04:00,20,3.03,0.02,3.53,39
07/01/2021 06:00,13,9.1,0.7,10.63,25
07/01/2021 08:00,16,35.36,33.13,86.61,173
07/01/2021 10:00,22,44.48,31.77,93.64,187
07/01/2021 14:00,23,32.34,13.78,53.92,108
07/01/2021 16:00,27,34.39,16.33,59.88,120
07/01/2021 18:00,35,56.83,70.48,165.35,331
07/01/2021 20:00,49,45.65,21.84,79.59,159
07/01/2021 22:00,49,39.25,6.08,49.03,98
08/01/2021 00:00,36,12.83,0.11,13.46,73
08/01/2021 02:00,37,8.4,0.28,9.3,75
08/01/2021 04:00,26,2.68,0,3.15,53
08/01/2021 06:00,20,6.49,0.36,7.51,41
08/01/2021 08:00,10,32.38,7.93,44.99,90
08/01/2021 10:00,5,31.21,9.19,45.77,92
08/01/2021 12:00,2,17.6,2.86,22.44,45
08/01/2021 14:00,19,16.31,2.95,21.3,43
08/01/2021 16:00,13,23.9,2.88,28.77,58
08/01/2021 18:00,21,23.89,3.86,30.28,61
08/01/2021 20:00,16,25.11,3.03,30.21,60
08/01/2021 22:00,15,14.3,1.75,17.45,35
09/01/2021 00:00,12,5.76,0.31,6.71,25
09/01/2021 02:00,47,4.65,0.43,5.77,95
09/01/2021 04:00,24,2.56,0.01,3.04,47
09/01/2021 06:00,12,5.87,0.15,6.56,23
09/01/2021 08:00,6,15.97,2.53,20.31,41
09/01/2021 10:00,3,17.41,4.08,24.13,48
09/01/2021 12:00,24,23.15,7.15,34.58,69
09/01/2021 14:00,21,26.97,5.63,36.06,72
09/01/2021 16:00,29,15.58,1,17.58,58
09/01/2021 18:00,23,18.88,2.19,22.7,46
09/01/2021 20:00,22,29.45,6,39.11,78
09/01/2021 22:00,22,29.83,3.88,36.24,72
10/01/2021 00:00,52,6.24,0.3,7.16,105
10/01/2021 04:00,13,2.67,0.31,3.6,26
10/01/2021 06:00,6,3.65,0.08,4.24,13
10/01/2021 08:00,3,7.29,0.91,9.15,18
10/01/2021 10:00,1,12.54,2.67,17.1,34
10/01/2021 12:00,1,20.27,7.93,32.89,66
10/01/2021 14:00,2,22.54,5.96,32.15,64
10/01/2021 16:00,4,12.6,1.32,15.08,30
10/01/2021 18:00,10,17.44,2.68,22.01,44
10/01/2021 20:00,11,13.17,1,15.16,30
10/01/2021 22:00,11,7.96,0.59,9.33,21
11/01/2021 00:00,7,4.06,0.12,4.71,14
11/01/2021 02:00,7,2.01,0.11,2.64,13
11/01/2021 08:00,17,16.4,2.82,21.18,42
11/01/2021 10:00,18,13.87,4.71,21.56,43
11/01/2021 12:00,14,13.32,4.07,20.02,40
11/01/2021 14:00,21,13.38,3.81,19.69,42
11/01/2021 16:00,17,15.11,2.32,19.14,38
11/01/2021 18:00,10,26.07,4.04,32.73,65
11/01/2021 20:00,13,26,6.87,37,74
11/01/2021 22:00,22,18.35,2.5,22.65,45
12/01/2021 00:00,16,8.12,0.42,9.23,33
12/01/2021 02:00,17,4.68,0.15,5.37,35
12/01/2021 04:00,13,3.41,0.06,3.97,26
12/01/2021 06:00,38,4.99,0.17,5.72,76
12/01/2021 08:00,19,19.37,3.23,24.78,50
12/01/2021 10:00,10,15.42,5.56,24.41,49
12/01/2021 12:00,10,11.76,2.77,16.48,33
12/01/2021 14:00,4,17.81,9.81,33.31,67
12/01/2021 16:00,11,14.15,2.04,17.74,35
12/01/2021 18:00,8,25.39,2.63,29.88,60
12/01/2021 20:00,17,20.17,3.63,26.2,52
12/01/2021 22:00,23,15.9,1.01,17.9,46
13/01/2021 00:00,16,4.71,0,5.18,31
13/01/2021 02:00,15,2.87,0.5,4.11,29
13/01/2021 04:00,12,2.6,0.08,3.19,23
13/01/2021 06:00,11,8.2,0.94,10.11,21
13/01/2021 08:00,12,32.31,24.85,70.87,142
13/01/2021 10:00,18,34.69,23.25,70.8,142
13/01/2021 12:00,18,13.4,2.68,17.97,36
13/01/2021 18:00,4,37.37,1.57,40.23,80
13/01/2021 20:00,18,18.43,1.76,21.59,43
13/01/2021 22:00,16,19.6,2.08,23.25,47
14/01/2021 00:00,20,11.55,0.78,13.22,40
14/01/2021 02:00,18,8.28,0.31,9.21,37
14/01/2021 04:00,25,6.45,0.13,7.11,51
14/01/2021 06:00,18,9.75,0.81,11.46,37
14/01/2021 08:00,20,34.73,10.71,51.61,103
14/01/2021 10:00,23,26.19,7.27,37.79,76
14/01/2021 12:00,50,14.97,3.67,21.07,99
14/01/2021 14:00,25,34.03,15.67,58.52,117
14/01/2021 16:00,12,16.76,4.03,23.4,47
14/01/2021 18:00,12,37.83,6.35,48.03,96
14/01/2021 20:00,22,33.32,5.78,42.64,85
14/01/2021 22:00,24,8.97,1.78,12.17,47
15/01/2021 00:00,15,7.92,0.51,9.17,31
15/01/2021 02:00,43,2.44,0.81,4.15,86
15/01/2021 04:00,21,3,0.23,3.82,43
15/01/2021 06:00,11,9,2.26,12.93,26
15/01/2021 08:00,17,34.91,26.03,75.28,151
15/01/2021 10:00,8,22.3,14.27,44.65,89
15/01/2021 12:00,4,15.09,6.34,25.28,51
15/01/2021 14:00,18,20.69,13.66,42.09,84
15/01/2021 16:00,9,22.79,8.54,36.35,73
15/01/2021 18:00,12,35.63,5.76,44.92,90
15/01/2021 20:00,18,47.83,11.98,66.65,133
15/01/2021 22:00,33,27.75,1.76,30.91,67
16/01/2021 00:00,18,10.29,0.26,11.15,36
16/01/2021 02:00,27,3.16,0.11,3.8,54
16/01/2021 04:00,51,4.72,0,5.19,103
16/01/2021 06:00,26,7.4,0.34,8.38,51
16/01/2021 08:00,13,11.05,2.65,15.57,31
16/01/2021 10:00,6,12.4,4.44,19.68,39
16/01/2021 12:00,7,17.37,9.86,32.95,66
16/01/2021 14:00,3,15.56,4,22.15,44
16/01/2021 16:00,2,18.42,2.33,22.45,45
16/01/2021 18:00,3,20.41,4.97,28.49,57
16/01/2021 20:00,8,18.07,3.97,24.63,49
16/01/2021 22:00,9,14.46,3.85,20.82,42
17/01/2021 00:00,8,2.54,0.09,3.14,17
17/01/2021 06:00,6,3.63,0.15,4.33,12
17/01/2021 08:00,7,4.53,0.23,5.35,13
17/01/2021 10:00,6,19.57,4.88,27.52,55
17/01/2021 12:00,9,14.13,3.94,20.64,41
17/01/2021 14:00,16,14.92,3.26,20.39,41
17/01/2021 16:00,50,10.61,0.27,11.5,101
17/01/2021 18:00,32,22.24,3.71,28.39,64
17/01/2021 20:00,32,24.66,2.2,28.49,65
17/01/2021 22:00,27,32.42,8.14,45.36,91
18/01/2021 00:00,30,15.77,0.8,17.46,61
18/01/2021 04:00,30,7.27,0.34,8.25,60
18/01/2021 06:00,15,11.4,0.32,12.36,30
18/01/2021 08:00,10,46.36,24.17,83.88,168
18/01/2021 10:00,13,30.13,6.94,41.24,82
18/01/2021 12:00,11,18.6,2.65,23.12,46
18/01/2021 14:00,7,23.67,9.68,38.98,78
18/01/2021 16:00,9,14.38,2.4,18.52,37
18/01/2021 18:00,7,30.21,8.24,43.29,87
18/01/2021 20:00,10,33.68,5.83,43.08,86
18/01/2021 22:00,13,29.66,4.87,37.58,75
19/01/2021 00:00,15,14.02,0.67,15.51,31
19/01/2021 04:00,18,3.04,0.06,3.6,36
19/01/2021 06:00,10,9.3,0.47,10.48,21
19/01/2021 08:00,10,43.9,14.32,66.31,133
19/01/2021 10:00,43,25.09,6.97,36.25,87
19/01/2021 12:00,22,24.64,9.23,39.25,79
19/01/2021 14:00,24,29.74,17.25,56.65,113
19/01/2021 16:00,12,26.54,9.22,41.13,82
19/01/2021 18:00,7,49.2,54.22,132.79,266
19/01/2021 20:00,31,47.54,15.8,72.22,144
19/01/2021 22:00,50,29.46,2.91,34.37,99
20/01/2021 00:00,50,11.81,0.32,12.76,100
20/01/2021 06:00,14,11.27,0.19,12.03,28
20/01/2021 08:00,11,23.56,3.09,28.76,58
20/01/2021 10:00,8,19.17,3.81,25.47,51
20/01/2021 12:00,11,12.9,2.4,17.05,34
20/01/2021 14:00,7,14.98,3.29,20.49,41
20/01/2021 16:00,6,13.43,1.41,16.05,32
20/01/2021 18:00,10,22.92,2.04,26.5,53
20/01/2021 20:00,21,25.58,2.2,29.43,59
20/01/2021 22:00,23,21.09,1.08,23.21,47
21/01/2021 00:00,25,6.92,0.02,7.42,50
21/01/2021 08:00,19,16.15,2.1,19.83,40
21/01/2021 10:00,10,18.21,3.28,23.71,47
21/01/2021 12:00,5,9.23,1.24,11.59,23
21/01/2021 14:00,25,12.54,2.75,17.21,50
21/01/2021 16:00,12,13.63,1.45,16.31,33
21/01/2021 18:00,8,29.22,3.95,35.74,71
21/01/2021 20:00,24,24.36,2.32,28.38,57
21/01/2021 22:00,32,18.78,0.66,20.25,64
22/01/2021 00:00,26,14.08,0.34,15.07,51
22/01/2021 02:00,26,4.92,0.17,5.65,52
22/01/2021 08:00,17,18.82,2.21,22.68,45
22/01/2021 10:00,16,19.31,4.1,26.06,52
22/01/2021 12:00,14,9.06,1.85,12.35,28
22/01/2021 14:00,42,9.17,1.79,12.38,84
22/01/2021 16:00,21,9.82,1.01,11.82,42
22/01/2021 18:00,23,23.02,2.43,27.22,54
22/01/2021 20:00,24,22.88,2.06,26.5,53
22/01/2021 22:00,33,11.63,1.8,14.86,67
23/01/2021 00:00,30,4.15,0.87,5.92,59
23/01/2021 06:00,19,2.86,0.16,3.57,39
23/01/2021 08:00,24,9.32,1.05,11.4,49
23/01/2021 10:00,18,15.51,2.22,19.38,39
23/01/2021 12:00,20,27.02,10.07,42.93,86
23/01/2021 14:00,36,10.39,0.61,11.79,71
23/01/2021 16:00,53,9.42,1.03,11.47,105
23/01/2021 18:00,30,6.15,1.05,8.23,61
23/01/2021 20:00,52,10.18,1.06,12.28,104
23/01/2021 22:00,26,7.03,0.18,7.76,52
24/01/2021 06:00,14,4.84,0.35,5.84,27
24/01/2021 10:00,3,10.53,0.81,12.24,24
24/01/2021 12:00,2,8.58,1.28,11.01,22
24/01/2021 14:00,1,6.03,0.77,7.68,15
24/01/2021 18:00,1,6.19,0.15,6.88,14
24/01/2021 20:00,3,8.31,0.43,9.44,19
24/01/2021 22:00,3,6.06,0.31,7,14
25/01/2021 00:00,9,4.16,0.18,4.89,18
25/01/2021 04:00,16,2.5,0.04,3.03,33
25/01/2021 06:00,8,4.66,0.25,5.51,16
25/01/2021 08:00,38,32.1,6.54,42.6,85
25/01/2021 10:00,19,26.18,8.58,39.8,80
25/01/2021 12:00,9,13.79,2.14,17.53,35
25/01/2021 14:00,5,10.37,2.57,14.78,30
25/01/2021 16:00,2,5.97,0.33,6.94,14
25/01/2021 18:00,39,16.61,1.4,19.22,78
25/01/2021 20:00,19,17.98,1.99,21.49,43
25/01/2021 22:00,10,18.48,0.93,20.36,41
26/01/2021 02:00,15,4.67,0.46,5.85,31
26/01/2021 04:00,12,4.62,0.19,5.39,24
26/01/2021 06:00,7,6.28,0.12,6.92,14
26/01/2021 08:00,44,17.14,1.57,20.01,88
26/01/2021 10:00,22,14.9,1.93,18.32,44
26/01/2021 12:00,11,10.28,1.15,12.51,25
26/01/2021 14:00,5,18.56,8.95,32.75,65
26/01/2021 16:00,3,9.85,2.87,14.71,29
26/01/2021 18:00,14,13.35,2.13,17.08,34
26/01/2021 20:00,9,10.75,2.2,14.59,29
26/01/2021 22:00,6,5.32,0.23,6.13,13
27/01/2021 02:00,12,0.93,0.36,1.83,24
27/01/2021 08:00,8,14.95,0.5,16.19,32
27/01/2021 10:00,5,12.62,1.72,15.72,31
27/01/2021 12:00,10,6.1,0.74,7.69,20
27/01/2021 14:00,41,9.05,1.82,12.3,82
27/01/2021 16:00,20,13.24,1.33,15.75,41
27/01/2021 18:00,50,24.54,0.61,25.94,101
27/01/2021 20:00,25,23.66,2.78,28.38,57
27/01/2021 22:00,12,15.27,0.21,16.05,32
28/01/2021 00:00,6,4.31,0.02,4.81,12
28/01/2021 02:00,3,3.49,0.02,3.99,8
28/01/2021 06:00,12,9.57,0.15,10.27,25
28/01/2021 08:00,6,30.15,9.73,45.53,91
28/01/2021 10:00,3,31.54,10.63,48.31,97
28/01/2021 12:00,8,10.64,1.09,12.77,26
28/01/2021 14:00,10,34.84,15.46,59,118
28/01/2021 16:00,36,27.65,6.13,37.51,75
28/01/2021 18:00,24,50.18,12.66,70.05,140
28/01/2021 20:00,24,26.79,2.82,31.57,63
28/01/2021 22:00,30,13.75,0.61,15.15,60
29/01/2021 02:00,14,4.45,0.4,5.54,28
29/01/2021 04:00,13,3.49,0.19,4.26,26
29/01/2021 06:00,10,10.08,0.01,10.56,21
29/01/2021 08:00,10,41.87,11.79,60.4,121
29/01/2021 10:00,17,45.01,41.13,108.53,217
29/01/2021 12:00,22,25.84,10.82,42.89,86
29/01/2021 14:00,23,18.97,7.07,30.28,61
29/01/2021 16:00,13,18.42,1.8,21.64,43
29/01/2021 18:00,16,31.53,5.19,39.95,80
29/01/2021 20:00,19,16.03,2.47,20.28,41
29/01/2021 22:00,19,3.69,0.26,4.56,37
30/01/2021 00:00,43,2.11,0.17,2.83,86
30/01/2021 02:00,21,2.94,0.12,3.59,43
30/01/2021 04:00,11,4.6,0.87,6.4,21
30/01/2021 06:00,5,11.7,0.66,13.18,26
30/01/2021 08:00,3,26.35,6.31,36.48,73
30/01/2021 10:00,10,18.79,4.49,26.13,52
30/01/2021 12:00,42,23.85,8.01,36.6,84
30/01/2021 14:00,21,23.7,7.69,35.94,72
30/01/2021 16:00,26,18.07,3.63,24.09,52
30/01/2021 18:00,23,32.91,3.66,38.98,78
30/01/2021 20:00,33,27.59,3.59,33.56,67
30/01/2021 22:00,33,25.67,1.76,28.84,66
31/01/2021 00:00,38,3.51,0,3.98,76
31/01/2021 02:00,21,1.05,0,1.52,41
31/01/2021 04:00,17,0.12,0,0.41,34
31/01/2021 06:00,13,3.09,0.08,3.67,27
31/01/2021 08:00,11,6.46,0.24,7.3,21
31/01/2021 10:00,48,5.79,0.57,7.12,95
31/01/2021 12:00,61,16.13,2.39,20.25,123
31/01/2021 14:00,31,21.51,4.11,28.28,61
31/01/2021 16:00,17,10.21,0.76,11.83,34
31/01/2021 18:00,23,11.29,1.17,13.55,45
31/01/2021 20:00,46,11.74,1.06,13.84,93
31/01/2021 22:00,23,13.32,0.74,14.91,46
01/02/2021 00:00,11,4.13,0.22,4.94,23
01/02/2021 02:00,16,1.11,0,1.57,32
01/02/2021 04:00,8,3.4,1.07,5.51,16
01/02/2021 06:00,4,12.74,0.6,14.12,28
01/02/2021 08:00,2,34.58,24.01,71.85,144
01/02/2021 10:00,1,25.33,10.82,42.38,85
01/02/2021 12:00,19,25.91,12.68,45.81,92
01/02/2021 14:00,10,33.1,23.27,69.24,138
01/02/2021 16:00,5,23.32,10.75,40.26,81
01/02/2021 18:00,16,28.73,10.11,44.69,89
01/02/2021 20:00,18,43.07,20.44,74.87,150
01/02/2021 22:00,46,21.15,2.73,25.81,92
02/02/2021 00:00,40,8.02,0.45,9.17,81
02/02/2021 02:00,23,3.81,0.27,4.69,47
02/02/2021 04:00,16,3.9,1.48,6.64,32
02/02/2021 06:00,14,14.73,6.88,25.73,51
02/02/2021 08:00,10,40.2,17.29,67.17,134
02/02/2021 10:00,10,36.41,17.16,63.17,126
02/02/2021 12:00,13,13.86,3.45,19.62,39
02/02/2021 14:00,16,20.95,10.23,37.1,74
02/02/2021 16:00,20,19.05,6.32,29.2,58
02/02/2021 18:00,20,33.87,3.78,40.12,80
02/02/2021 20:00,30,45.57,9.82,61.09,122
02/02/2021 22:00,38,30.06,3.6,36.05,76
03/02/2021 00:00,40,8.75,0.39,9.82,80
03/02/2021 02:00,32,2.37,0.05,2.92,63
03/02/2021 04:00,22,2.5,0.08,3.08,43
03/02/2021 06:00,13,7.86,0.3,8.79,26
03/02/2021 08:00,7,28.75,10.93,45.97,92
03/02/2021 10:00,14,25.14,9.56,40.26,81
03/02/2021 12:00,21,10.97,2.73,15.62,42
03/02/2021 14:00,11,11.61,3.16,16.92,34
03/02/2021 16:00,15,12.25,2.33,16.29,33
03/02/2021 18:00,11,18.82,1.57,21.69,43
03/02/2021 20:00,20,15.42,1.58,18.3,40
03/02/2021 22:00,28,14.11,0.27,14.98,57
04/02/2021 00:00,36,9.08,0.32,10.04,72
04/02/2021 02:00,38,2.23,0.05,2.77,76
04/02/2021 04:00,32,2.12,0.35,3.12,65
04/02/2021 06:00,21,8.77,1.29,11.21,42
04/02/2021 08:00,23,28.25,11.13,45.78,92
04/02/2021 10:00,30,29.97,13.52,51.17,102
04/02/2021 12:00,17,22.82,11.16,40.39,81
04/02/2021 14:00,48,27.5,15.95,52.42,105
04/02/2021 16:00,24,18.49,6.42,28.81,58
04/02/2021 18:00,15,42.78,13.05,63.25,126
04/02/2021 20:00,24,54.63,48.49,129.43,259
04/02/2021 22:00,52,19.92,2.07,23.56,104
05/02/2021 00:00,48,8.65,0.04,9.18,95
05/02/2021 02:00,46,2.79,0,3.26,92
05/02/2021 04:00,33,4.22,2.05,7.83,66
05/02/2021 06:00,27,11.57,3.78,17.83,54
05/02/2021 08:00,30,30.33,17.38,57.44,115
05/02/2021 10:00,26,15.58,4.1,22.33,53
05/02/2021 12:00,52,8.97,2.13,12.71,104
05/02/2021 14:00,26,14.16,4.19,21.04,52
05/02/2021 16:00,13,9.43,1.64,12.41,26
05/02/2021 18:00,8,14.67,1.9,18.05,36
05/02/2021 20:00,23,15.55,1.67,18.57,45
05/02/2021 22:00,34,16.49,1.52,19.28,68
06/02/2021 00:00,30,6.45,0.08,7.04,60
06/02/2021 02:00,22,3.31,0.35,4.31,44
06/02/2021 04:00,32,0.72,0.02,1.18,65
06/02/2021 06:00,27,2.17,0.09,2.77,55
06/02/2021 08:00,20,8.32,0.94,10.23,40
06/02/2021 10:00,20,15.63,4.5,23,46
06/02/2021 12:00,14,10.7,2.65,15.22,30
06/02/2021 14:00,39,14.83,3.48,20.63,78
06/02/2021 16:00,20,6.57,0.67,8.07,39
06/02/2021 18:00,15,16.81,1.27,19.22,38
06/02/2021 20:00,33,7.09,0.64,8.53,66
06/02/2021 22:00,37,4.88,0.26,5.74,74
07/02/2021 02:00,29,0.5,0.05,0.93,57
07/02/2021 06:00,32,0.67,0.06,1.22,64
07/02/2021 10:00,19,4.52,0.21,5.3,38
07/02/2021 12:00,23,6.99,1.22,9.32,45
07/02/2021 14:00,18,6.33,0.83,8.07,36
07/02/2021 18:00,42,6.04,0.35,7.03,84
07/02/2021 20:00,46,12.22,1.24,14.59,93
07/02/2021 22:00,54,14.88,0.82,16.61,108
08/02/2021 00:00,34,9.06,0.4,10.13,68
08/02/2021 04:00,37,2.32,0.27,3.2,74
08/02/2021 08:00,51,17.26,2.42,21.44,103
08/02/2021 10:00,26,22.98,3.92,29.45,59
08/02/2021 12:00,13,6.34,1.09,8.48,25
08/02/2021 14:00,6,7.42,2.25,11.33,23
08/02/2021 16:00,3,4.51,0.55,5.82,12
08/02/2021 18:00,4,7.97,0.49,9.18,18
08/02/2021 20:00,11,10.29,1.04,12.34,25
08/02/2021 22:00,8,19.38,0.93,21.27,43
09/02/2021 00:00,15,3.12,0.01,3.6,29
09/02/2021 04:00,48,0.91,0.09,1.52,97
09/02/2021 06:00,24,2.62,0.09,3.23,48
09/02/2021 08:00,12,9.83,0.98,11.81,24
09/02/2021 10:00,22,11.99,1.51,14.77,45
09/02/2021 12:00,11,8.94,1.53,11.75,24
09/02/2021 14:00,9,13.08,2.5,17.38,35
09/02/2021 16:00,4,5.6,0.54,6.88,14
09/02/2021 18:00,5,6.19,0.6,7.57,15
09/02/2021 20:00,3,13.1,1.35,15.63,31
09/02/2021 22:00,8,10.73,0.37,11.76,24
10/02/2021 06:00,13,1.95,0.04,2.48,26
10/02/2021 08:00,11,8.67,1.01,10.67,23
10/02/2021 10:00,9,8.83,1.09,10.96,22
10/02/2021 12:00,13,7.38,1.35,9.92,26
10/02/2021 14:00,46,10.64,2.51,14.95,91
10/02/2021 16:00,23,12.17,2.85,17.01,45
10/02/2021 18:00,16,9.44,0.67,10.93,32
10/02/2021 20:00,9,9.57,0.63,11,22
10/02/2021 22:00,15,5.02,0.37,6.05,29
11/02/2021 00:00,10,1.46,0.09,2.06,19
11/02/2021 02:00,6,1.88,0.35,2.89,12
