Parm;PM10;NO2;NO;NOX;IQA
1/1/21 2.00;34.18803024;8.656176135;0.141262655;9.337569177;68
1/1/21 8.00;21.48962021;6.657050202;0.055828187;7.207935684;43
1/1/21 10.00;16.11721039;6.533158486;0.581967405;7.890793392;32
1/1/21 12.00;15.14041042;6.036944762;0.838692311;7.788333305;30
1/1/21 14.00;12.45421028;8.482987206;1.418544741;11.12285474;25
1/1/21 16.00;13.18680954;4.918679091;0.206395964;5.700851478;26
1/1/21 18.00;12.69841003;17.09959866;2.812135831;21.87412094;25
1/1/21 20.00;21.24542046;28.20115853;8.640267102;41.9091279;42
1/1/21 22.00;34.4322319;20.88443137;3.129765388;26.14504964;69
2/1/21 0.00;33.94382095;13.36793886;2.386656918;17.49099871;68
2/1/21 2.00;33.94382095;4.835004386;0.459313748;6.004993337;68
2/1/21 4.00;20.26861954;4.899869092;1.662158738;7.914138706;41
2/1/21 6.00;19.53602028;12.49810485;2.639153138;17.00852404;39
2/1/21 8.00;13.43101025;13.3095619;1.421082413;15.95213904;27
2/1/21 10.00;8.791209221;11.11324711;1.315346769;13.5942396;18
2/1/21 12.00;20.02441978;7.78050534;1.233296683;10.13650386;40
2/1/21 14.00;11.47741032;8.130774388;1.330572653;10.63583974;23
2/1/21 16.00;9.035408974;4.630682295;0.447049497;5.781912758;18
2/1/21 18.00;10.7448101;9.574659132;0.595078352;10.95165243;21
2/1/21 20.00;11.96580982;14.98176957;1.58476115;17.87490448;24
2/1/21 22.00;6.837606907;24.22949402;4.768239978;32.001525;16
3/1/21 0.00;4.88400507;14.79625611;1.061582307;16.88725715;10
3/1/21 2.00;17.82661057;3.735550766;0.211469988;4.525793861;36
3/1/21 4.00;34.92063141;1.294047282;0.072323507;1.871534374;70
3/1/21 6.00;17.58241081;2.800852277;0.306632303;3.737233332;35
3/1/21 8.00;26.61782074;7.818125338;0.544748201;9.118379788;53
3/1/21 10.00;13.18680954;9.209470819;1.261210854;11.60792414;26
3/1/21 12.00;9.27960968;10.15519761;2.277115434;14.11108311;19
3/1/21 14.00;8.791209221;8.841689596;0.817968385;10.56061616;18
3/1/21 16.00;13.91940975;7.835639337;0.345119729;8.829802686;28
3/1/21 18.00;12.69841003;21.90475084;1.039590214;23.96030358;25
3/1/21 20.00;12.21000957;32.31551517;6.042138598;42.0388172;24
3/1/21 22.00;35.16482162;18.57007806;2.232707287;22.45580818;70
4/1/21 0.00;21.97801971;19.02802219;2.836666711;23.83967488;44
4/1/21 2.00;27.10622025;4.256411957;0.176366949;4.992704229;54
4/1/21 4.00;14.40781021;6.191971463;0.475386328;7.386269864;29
4/1/21 6.00;14.65200996;8.200177599;0.272797449;9.083360906;29
4/1/21 8.00;9.523809433;39.92867658;18.50789878;68.76362672;34
4/1/21 10.00;10.01220989;28.55661704;6.9891043;39.73281153;20
