Parm;PM10;NO2;NO;NOX;IQA
1/1/21 1.00;17.60;7.60;0.51;8.28;35
1/1/21 2.00;17.60;7.01;0.14;7.04;35
1/1/21 3.00;17.60;3.82;0.01;3.57;35
1/1/21 4.00;17.60;5.45;0.23;5.56;35
1/1/21 5.00;17.60;4.28;0.05;4.13;35
1/1/21 6.00;17.60;4.30;0.08;3.84;35
1/1/21 7.00;17.60;6.50;0.13;6.34;35
1/1/21 8.00;17.60;8.53;0.42;9.17;35
1/1/21 9.00;17.60;9.65;1.08;11.31;35
1/1/21 10.00;17.60;6.81;0.57;7.68;35
1/1/21 11.00;17.60;6.59;0.53;7.41;35
1/1/21 12.00;17.60;5.39;0.61;6.34;35
1/1/21 13.00;17.60;5.70;0.36;6.23;35
1/1/21 14.00;17.60;4.80;0.37;5.28;35
1/1/21 15.00;17.60;2.86;0.02;2.63;35
1/1/21 16.00;17.60;5.39;0.02;5.35;35
1/1/21 17.00;17.60;8.42;0.25;8.79;35
1/1/21 18.00;17.60;10.02;0.21;10.29;35
1/1/21 19.00;17.60;14.37;0.18;14.52;35
1/1/21 20.00;17.60;16.93;0.81;18.18;35
1/1/21 21.00;17.60;18.23;0.80;19.44;35
1/1/21 22.00;17.60;13.28;0.58;14.17;35
1/1/21 23.00;17.60;10.26;0.03;10.11;35
2/1/21 0.00;17.60;6.03;0.02;5.63;35
2/1/21 8.00;11.50;7.54;0.02;6.98;23
2/1/21 9.00;11.50;7.31;0.03;7.01;23
2/1/21 10.00;11.50;6.92;0.01;6.62;23
2/1/21 11.00;11.50;6.17;0.17;6.38;23
2/1/21 12.00;11.50;5.53;0.17;5.73;23
2/1/21 13.00;11.50;6.56;0.09;6.52;23
2/1/21 14.00;11.50;6.15;0.13;6.24;23
2/1/21 15.00;11.50;5.60;0.19;5.73;23
2/1/21 16.00;11.50;5.91;0.01;5.61;23
2/1/21 17.00;11.50;6.45;0.01;6.07;23
2/1/21 18.00;11.50;5.81;0.09;5.61;23
2/1/21 20.00;11.50;6.65;0.19;6.87;23
2/1/21 21.00;11.50;7.64;0.01;7.30;23
2/1/21 22.00;11.50;14.59;0.06;14.42;23
2/1/21 23.00;11.50;11.81;0.05;11.56;23
3/1/21 1.00;17.70;4.28;0.02;3.96;35
3/1/21 2.00;17.70;3.51;0.03;3.04;35
3/1/21 3.00;17.70;3.77;0.20;3.66;35
3/1/21 4.00;17.70;3.57;0.03;3.12;35
3/1/21 5.00;17.70;4.54;0.02;4.37;35
3/1/21 6.00;17.70;4.95;0.01;4.55;35
3/1/21 7.00;17.70;6.47;0.13;6.15;35
3/1/21 8.00;17.70;9.18;0.77;10.24;35
3/1/21 9.00;17.70;6.84;0.37;7.08;35
3/1/21 10.00;17.70;8.91;0.41;9.52;35
3/1/21 11.00;17.70;5.81;0.39;6.16;35
3/1/21 12.00;17.70;5.90;0.07;5.82;35
3/1/21 13.00;17.70;6.42;0.37;6.97;35
