PM10,NO2,NO,NOX,IQA,clusters
34.0,8.66,0.14,9.34,68,1
21.0,6.66,0.06,7.21,43,0
16.0,6.53,0.58,7.89,32,0
15.0,6.04,0.84,7.79,30,0
12.0,8.48,1.42,11.12,25,0
13.0,4.92,0.21,5.7,26,0
13.0,17.1,2.81,21.87,44,1
21.0,28.2,8.64,41.91,84,2
34.0,20.88,3.13,26.15,69,1
34.0,13.37,2.39,17.49,68,1
34.0,4.84,0.46,6.0,68,1
20.0,4.9,1.66,7.91,41,0
20.0,12.5,2.64,17.01,39,0
13.0,13.31,1.42,15.95,32,0
9.0,11.11,1.32,13.59,27,0
20.0,7.78,1.23,10.14,40,0
11.0,8.13,1.33,10.64,23,0
9.0,4.63,0.45,5.78,18,0
11.0,9.57,0.6,10.95,22,0
12.0,14.98,1.58,17.87,36,0
7.0,24.23,4.77,32.0,64,1
5.0,14.8,1.06,16.89,34,0
18.0,3.74,0.21,4.53,36,0
35.0,1.29,0.07,1.87,70,1
18.0,2.8,0.31,3.74,35,0
27.0,7.82,0.54,9.12,53,1
13.0,9.21,1.26,11.61,26,0
9.0,10.16,2.28,14.11,28,0
9.0,8.84,0.82,10.56,21,0
14.0,7.84,0.35,8.83,28,0
13.0,21.9,1.04,23.96,48,1
12.0,32.32,6.04,42.04,84,2
35.0,18.57,2.23,22.46,70,1
22.0,19.03,2.84,23.84,48,1
27.0,4.26,0.18,4.99,54,1
14.0,6.19,0.48,7.39,29,0
15.0,8.2,0.27,9.08,29,0
10.0,39.93,18.51,68.76,138,2
10.0,28.56,6.99,39.73,79,1
17.0,30.55,9.89,46.17,92,2
21.0,23.69,8.53,37.23,74,1
17.0,26.77,7.06,38.05,76,1
16.0,53.67,69.42,160.58,321,4
30.0,42.52,10.12,58.49,117,2
45.0,13.67,0.83,15.41,90,3
28.0,4.07,0.0,4.54,57,1
19.0,2.62,0.01,3.09,38,0
47.0,6.37,0.24,7.19,94,3
23.0,25.07,3.6,31.06,62,1
12.0,27.34,14.25,49.66,99,2
20.0,12.32,2.74,16.99,40,0
18.0,8.67,1.58,11.57,36,0
43.0,12.54,0.78,14.2,87,3
22.0,23.45,2.64,27.96,56,1
11.0,38.04,5.28,46.59,93,2
5.0,19.38,1.3,21.84,44,0
8.0,5.7,0.15,6.39,16,0
9.0,2.7,0.03,3.21,18,0
11.0,3.85,0.25,4.7,22,0
12.0,9.53,3.35,15.13,30,0
15.0,7.82,0.08,8.41,31,0
22.0,19.42,7.85,31.92,64,1
24.0,11.32,1.88,14.66,49,1
24.0,13.19,1.37,15.75,48,1
35.0,8.06,0.42,9.17,69,1
28.0,15.06,1.05,17.14,57,1
36.0,26.6,2.57,31.01,73,1
33.0,25.42,1.81,28.66,66,1
31.0,12.01,1.85,15.31,61,1
23.0,3.56,0.04,4.08,46,0
20.0,3.03,0.02,3.53,39,0
13.0,9.1,0.7,10.63,25,0
16.0,35.36,33.13,86.61,173,4
22.0,44.48,31.77,93.64,187,4
23.0,32.34,13.78,53.92,108,2
27.0,34.39,16.33,59.88,120,2
35.0,56.83,70.48,165.35,331,4
49.0,45.65,21.84,79.59,159,2
49.0,39.25,6.08,49.03,98,2
36.0,12.83,0.11,13.46,73,1
37.0,8.4,0.28,9.3,75,3
26.0,2.68,0.0,3.15,53,1
20.0,6.49,0.36,7.51,41,0
10.0,32.38,7.93,44.99,90,2
5.0,31.21,9.19,45.77,92,2
2.0,17.6,2.86,22.44,45,0
19.0,16.31,2.95,21.3,43,1
13.0,23.9,2.88,28.77,58,1
21.0,23.89,3.86,30.28,61,1
16.0,25.11,3.03,30.21,60,1
15.0,14.3,1.75,17.45,35,0
12.0,5.76,0.31,6.71,25,0
47.0,4.65,0.43,5.77,95,3
24.0,2.56,0.01,3.04,47,0
12.0,5.87,0.15,6.56,23,0
6.0,15.97,2.53,20.31,41,0
3.0,17.41,4.08,24.13,48,1
24.0,23.15,7.15,34.58,69,1
21.0,26.97,5.63,36.06,72,1
29.0,15.58,1.0,17.58,58,1
23.0,18.88,2.19,22.7,46,1
22.0,29.45,6.0,39.11,78,1
22.0,29.83,3.88,36.24,72,1
52.0,6.24,0.3,7.16,105,3
13.0,2.67,0.31,3.6,26,0
6.0,3.65,0.08,4.24,13,0
3.0,7.29,0.91,9.15,18,0
1.0,12.54,2.67,17.1,34,0
1.0,20.27,7.93,32.89,66,1
2.0,22.54,5.96,32.15,64,1
4.0,12.6,1.32,15.08,30,0
10.0,17.44,2.68,22.01,44,0
11.0,13.17,1.0,15.16,30,0
11.0,7.96,0.59,9.33,21,0
7.0,4.06,0.12,4.71,14,0
7.0,2.01,0.11,2.64,13,0
17.0,16.4,2.82,21.18,42,0
18.0,13.87,4.71,21.56,43,1
14.0,13.32,4.07,20.02,40,0
21.0,13.38,3.81,19.69,42,0
17.0,15.11,2.32,19.14,38,0
10.0,26.07,4.04,32.73,65,1
13.0,26.0,6.87,37.0,74,1
22.0,18.35,2.5,22.65,45,1
16.0,8.12,0.42,9.23,33,0
17.0,4.68,0.15,5.37,35,0
13.0,3.41,0.06,3.97,26,0
38.0,4.99,0.17,5.72,76,3
19.0,19.37,3.23,24.78,50,1
10.0,15.42,5.56,24.41,49,1
10.0,11.76,2.77,16.48,33,0
4.0,17.81,9.81,33.31,67,1
11.0,14.15,2.04,17.74,35,0
8.0,25.39,2.63,29.88,60,1
17.0,20.17,3.63,26.2,52,1
23.0,15.9,1.01,17.9,46,1
16.0,4.71,0.0,5.18,31,0
15.0,2.87,0.5,4.11,29,0
12.0,2.6,0.08,3.19,23,0
11.0,8.2,0.94,10.11,21,0
12.0,32.31,24.85,70.87,142,2
18.0,34.69,23.25,70.8,142,2
18.0,13.4,2.68,17.97,36,0
4.0,37.37,1.57,40.23,80,2
18.0,18.43,1.76,21.59,43,1
16.0,19.6,2.08,23.25,47,1
20.0,11.55,0.78,13.22,40,0
18.0,8.28,0.31,9.21,37,0
25.0,6.45,0.13,7.11,51,1
18.0,9.75,0.81,11.46,37,0
20.0,34.73,10.71,51.61,103,2
23.0,26.19,7.27,37.79,76,1
50.0,14.97,3.67,21.07,99,3
25.0,34.03,15.67,58.52,117,2
12.0,16.76,4.03,23.4,47,1
12.0,37.83,6.35,48.03,96,2
22.0,33.32,5.78,42.64,85,2
24.0,8.97,1.78,12.17,47,1
15.0,7.92,0.51,9.17,31,0
43.0,2.44,0.81,4.15,86,3
21.0,3.0,0.23,3.82,43,0
11.0,9.0,2.26,12.93,26,0
17.0,34.91,26.03,75.28,151,2
8.0,22.3,14.27,44.65,89,2
4.0,15.09,6.34,25.28,51,1
18.0,20.69,13.66,42.09,84,2
9.0,22.79,8.54,36.35,73,1
12.0,35.63,5.76,44.92,90,2
18.0,47.83,11.98,66.65,133,2
33.0,27.75,1.76,30.91,67,1
18.0,10.29,0.26,11.15,36,0
27.0,3.16,0.11,3.8,54,1
51.0,4.72,0.0,5.19,103,3
26.0,7.4,0.34,8.38,51,1
13.0,11.05,2.65,15.57,31,0
6.0,12.4,4.44,19.68,39,0
7.0,17.37,9.86,32.95,66,1
3.0,15.56,4.0,22.15,44,0
2.0,18.42,2.33,22.45,45,0
3.0,20.41,4.97,28.49,57,1
8.0,18.07,3.97,24.63,49,1
9.0,14.46,3.85,20.82,42,0
8.0,2.54,0.09,3.14,17,0
6.0,3.63,0.15,4.33,12,0
7.0,4.53,0.23,5.35,13,0
6.0,19.57,4.88,27.52,55,1
9.0,14.13,3.94,20.64,41,0
16.0,14.92,3.26,20.39,41,0
50.0,10.61,0.27,11.5,101,3
32.0,22.24,3.71,28.39,64,1
32.0,24.66,2.2,28.49,65,1
27.0,32.42,8.14,45.36,91,2
30.0,15.77,0.8,17.46,61,1
30.0,7.27,0.34,8.25,60,1
15.0,11.4,0.32,12.36,30,0
10.0,46.36,24.17,83.88,168,4
13.0,30.13,6.94,41.24,82,2
11.0,18.6,2.65,23.12,46,1
7.0,23.67,9.68,38.98,78,1
9.0,14.38,2.4,18.52,37,0
7.0,30.21,8.24,43.29,87,2
10.0,33.68,5.83,43.08,86,2
13.0,29.66,4.87,37.58,75,1
15.0,14.02,0.67,15.51,31,0
18.0,3.04,0.06,3.6,36,0
10.0,9.3,0.47,10.48,21,0
10.0,43.9,14.32,66.31,133,2
43.0,25.09,6.97,36.25,87,3
22.0,24.64,9.23,39.25,79,1
24.0,29.74,17.25,56.65,113,2
12.0,26.54,9.22,41.13,82,2
7.0,49.2,54.22,132.79,266,4
31.0,47.54,15.8,72.22,144,2
50.0,29.46,2.91,34.37,99,3
50.0,11.81,0.32,12.76,100,3
14.0,11.27,0.19,12.03,28,0
11.0,23.56,3.09,28.76,58,1
8.0,19.17,3.81,25.47,51,1
11.0,12.9,2.4,17.05,34,0
7.0,14.98,3.29,20.49,41,0
6.0,13.43,1.41,16.05,32,0
10.0,22.92,2.04,26.5,53,1
21.0,25.58,2.2,29.43,59,1
23.0,21.09,1.08,23.21,47,1
25.0,6.92,0.02,7.42,50,1
19.0,16.15,2.1,19.83,40,0
10.0,18.21,3.28,23.71,47,1
5.0,9.23,1.24,11.59,23,0
25.0,12.54,2.75,17.21,50,1
12.0,13.63,1.45,16.31,33,0
8.0,29.22,3.95,35.74,71,1
24.0,24.36,2.32,28.38,57,1
32.0,18.78,0.66,20.25,64,1
26.0,14.08,0.34,15.07,51,1
26.0,4.92,0.17,5.65,52,1
17.0,18.82,2.21,22.68,45,1
16.0,19.31,4.1,26.06,52,1
14.0,9.06,1.85,12.35,28,0
42.0,9.17,1.79,12.38,84,3
21.0,9.82,1.01,11.82,42,0
23.0,23.02,2.43,27.22,54,1
24.0,22.88,2.06,26.5,53,1
33.0,11.63,1.8,14.86,67,1
30.0,4.15,0.87,5.92,59,1
19.0,2.86,0.16,3.57,39,0
24.0,9.32,1.05,11.4,49,1
18.0,15.51,2.22,19.38,39,0
20.0,27.02,10.07,42.93,86,2
36.0,10.39,0.61,11.79,71,1
53.0,9.42,1.03,11.47,105,3
30.0,6.15,1.05,8.23,61,1
52.0,10.18,1.06,12.28,104,3
26.0,7.03,0.18,7.76,52,1
14.0,4.84,0.35,5.84,27,0
3.0,10.53,0.81,12.24,24,0
2.0,8.58,1.28,11.01,22,0
1.0,6.03,0.77,7.68,15,0
1.0,6.19,0.15,6.88,14,0
3.0,8.31,0.43,9.44,19,0
3.0,6.06,0.31,7.0,14,0
9.0,4.16,0.18,4.89,18,0
16.0,2.5,0.04,3.03,33,0
8.0,4.66,0.25,5.51,16,0
38.0,32.1,6.54,42.6,85,2
19.0,26.18,8.58,39.8,80,1
9.0,13.79,2.14,17.53,35,0
5.0,10.37,2.57,14.78,30,0
2.0,5.97,0.33,6.94,14,0
39.0,16.61,1.4,19.22,78,3
19.0,17.98,1.99,21.49,43,1
10.0,18.48,0.93,20.36,41,0
15.0,4.67,0.46,5.85,31,0
12.0,4.62,0.19,5.39,24,0
7.0,6.28,0.12,6.92,14,0
44.0,17.14,1.57,20.01,88,3
22.0,14.9,1.93,18.32,44,1
11.0,10.28,1.15,12.51,25,0
5.0,18.56,8.95,32.75,65,1
3.0,9.85,2.87,14.71,29,0
14.0,13.35,2.13,17.08,34,0
9.0,10.75,2.2,14.59,29,0
6.0,5.32,0.23,6.13,13,0
12.0,0.93,0.36,1.83,24,0
8.0,14.95,0.5,16.19,32,0
5.0,12.62,1.72,15.72,31,0
10.0,6.1,0.74,7.69,20,0
41.0,9.05,1.82,12.3,82,3
20.0,13.24,1.33,15.75,41,0
50.0,24.54,0.61,25.94,101,3
25.0,23.66,2.78,28.38,57,1
12.0,15.27,0.21,16.05,32,0
6.0,4.31,0.02,4.81,12,0
3.0,3.49,0.02,3.99,8,0
12.0,9.57,0.15,10.27,25,0
6.0,30.15,9.73,45.53,91,2
3.0,31.54,10.63,48.31,97,2
8.0,10.64,1.09,12.77,26,0
10.0,34.84,15.46,59.0,118,2
36.0,27.65,6.13,37.51,75,1
24.0,50.18,12.66,70.05,140,2
24.0,26.79,2.82,31.57,63,1
30.0,13.75,0.61,15.15,60,1
14.0,4.45,0.4,5.54,28,0
13.0,3.49,0.19,4.26,26,0
10.0,10.08,0.01,10.56,21,0
10.0,41.87,11.79,60.4,121,2
17.0,45.01,41.13,108.53,217,4
22.0,25.84,10.82,42.89,86,2
23.0,18.97,7.07,30.28,61,1
13.0,18.42,1.8,21.64,43,1
16.0,31.53,5.19,39.95,80,2
19.0,16.03,2.47,20.28,41,0
19.0,3.69,0.26,4.56,37,0
43.0,2.11,0.17,2.83,86,3
21.0,2.94,0.12,3.59,43,0
11.0,4.6,0.87,6.4,21,0
5.0,11.7,0.66,13.18,26,0
3.0,26.35,6.31,36.48,73,1
10.0,18.79,4.49,26.13,52,1
42.0,23.85,8.01,36.6,84,3
21.0,23.7,7.69,35.94,72,1
26.0,18.07,3.63,24.09,52,1
23.0,32.91,3.66,38.98,78,1
33.0,27.59,3.59,33.56,67,1
33.0,25.67,1.76,28.84,66,1
38.0,3.51,0.0,3.98,76,3
21.0,1.05,0.0,1.52,41,0
17.0,0.12,0.0,0.41,34,0
13.0,3.09,0.08,3.67,27,0
11.0,6.46,0.24,7.3,21,0
48.0,5.79,0.57,7.12,95,3
61.0,16.13,2.39,20.25,123,3
31.0,21.51,4.11,28.28,61,1
17.0,10.21,0.76,11.83,34,0
23.0,11.29,1.17,13.55,45,0
46.0,11.74,1.06,13.84,93,3
23.0,13.32,0.74,14.91,46,1
11.0,4.13,0.22,4.94,23,0
16.0,1.11,0.0,1.57,32,0
8.0,3.4,1.07,5.51,16,0
4.0,12.74,0.6,14.12,28,0
2.0,34.58,24.01,71.85,144,2
1.0,25.33,10.82,42.38,85,2
19.0,25.91,12.68,45.81,92,2
10.0,33.1,23.27,69.24,138,2
5.0,23.32,10.75,40.26,81,1
16.0,28.73,10.11,44.69,89,2
18.0,43.07,20.44,74.87,150,2
