Parm;PM10;NO2;NO;NOX;IQA
1/1/21 2.00;34.19;8.66;0.14;9.34;68
1/1/21 8.00;21.49;6.66;0.06;7.21;43
1/1/21 10.00;16.12;6.53;0.58;7.89;32
1/1/21 12.00;15.14;6.04;0.84;7.79;30
1/1/21 14.00;12.45;8.48;1.42;11.12;25
1/1/21 16.00;13.19;4.92;0.21;5.70;26
1/1/21 18.00;12.70;17.10;2.81;21.87;25
1/1/21 20.00;21.25;28.20;8.64;41.91;42
1/1/21 22.00;34.43;20.88;3.13;26.15;69
2/1/21 0.00;33.94;13.37;2.39;17.49;68
2/1/21 2.00;33.94;4.84;0.46;6.00;68
2/1/21 4.00;20.27;4.90;1.66;7.91;41
2/1/21 6.00;19.54;12.50;2.64;17.01;39
2/1/21 8.00;13.43;13.31;1.42;15.95;27
2/1/21 10.00;8.79;11.11;1.32;13.59;18
2/1/21 12.00;20.02;7.78;1.23;10.14;40
2/1/21 14.00;11.48;8.13;1.33;10.64;23
2/1/21 16.00;9.04;4.63;0.45;5.78;18
2/1/21 18.00;10.74;9.57;0.60;10.95;21
2/1/21 20.00;11.97;14.98;1.58;17.87;24
2/1/21 22.00;6.84;24.23;4.77;32.00;16
3/1/21 0.00;4.88;14.80;1.06;16.89;10
3/1/21 2.00;17.83;3.74;0.21;4.53;36
3/1/21 4.00;34.92;1.29;0.07;1.87;70
3/1/21 6.00;17.58;2.80;0.31;3.74;35
3/1/21 8.00;26.62;7.82;0.54;9.12;53
3/1/21 10.00;13.19;9.21;1.26;11.61;26
3/1/21 12.00;9.28;10.16;2.28;14.11;19
3/1/21 14.00;8.79;8.84;0.82;10.56;18
3/1/21 16.00;13.92;7.84;0.35;8.83;28
3/1/21 18.00;12.70;21.90;1.04;23.96;25
3/1/21 20.00;12.21;32.32;6.04;42.04;24
3/1/21 22.00;35.16;18.57;2.23;22.46;70
4/1/21 0.00;21.98;19.03;2.84;23.84;44
4/1/21 2.00;27.11;4.26;0.18;4.99;54
4/1/21 4.00;14.41;6.19;0.48;7.39;29
4/1/21 6.00;14.65;8.20;0.27;9.08;29
4/1/21 8.00;9.52;39.93;18.51;68.76;34
4/1/21 10.00;10.01;28.56;6.99;39.73;20
4/1/21 12.00;17.34;30.55;9.89;46.17;35
4/1/21 14.00;21.25;23.69;8.53;37.23;42
4/1/21 16.00;16.61;26.77;7.06;38.05;33
4/1/21 18.00;16.12;53.67;69.42;160.58;80
4/1/21 20.00;30.04;42.52;10.12;58.49;60
4/1/21 22.00;44.93;13.67;0.83;15.41;90
5/1/21 0.00;28.33;4.07;0.00;4.54;57
5/1/21 2.00;18.80;2.62;0.01;3.09;38
5/1/21 6.00;46.89;6.37;0.24;7.19;94
5/1/21 8.00;23.44;25.07;3.60;31.06;47
5/1/21 10.00;11.72;27.34;14.25;49.66;25
