Parm;PM10;NO2;NO;NOX;IQA;starnuti;tosse;asma;difficolta_respiratorie;mal_di_testa;sonnolenza;occhi_gonfi;lacrimazione;gola_irritata;prurito
1/1/21 2.00 AM;34.19;8.66;0.14;9.34;68;0;0;0;0;0;0;0;0;0;0
1/1/21 8.00 AM;21.49;6.66;0.06;7.21;43;0;0;0;0;0;0;0;0;0;0
1/1/21 10.00 AM;16.12;6.53;0.58;7.89;32;0;0;0;0;0;0;0;0;0;0
1/1/21 12.00 PM;15.14;6.04;0.84;7.79;30;0;0;0;0;0;0;0;0;0;0
1/1/21 2.00 PM;12.45;8.48;1.42;11.12;25;0;0;0;0;0;0;0;0;0;0
1/1/21 4.00 PM;13.19;4.92;0.21;5.70;26;0;0;0;0;0;0;0;0;0;0
1/1/21 6.00 PM;12.70;17.10;2.81;21.87;25;0;0;0;0;0;0;0;0;0;0
1/1/21 8.00 PM;21.25;28.20;8.64;41.91;42;0;0;0;0;0;0;0;0;0;0
1/1/21 10.00 PM;34.43;20.88;3.13;26.15;69;0;0;0;0;0;0;0;0;0;0
2/1/21 12.00 AM;33.94;13.37;2.39;17.49;68;0;0;0;0;0;0;0;0;0;0
2/1/21 2.00 AM;33.94;4.84;0.46;6.00;68;0;0;0;0;0;0;0;0;0;0
2/1/21 4.00 AM;20.27;4.90;1.66;7.91;41;0;0;0;0;0;0;0;0;0;0
2/1/21 6.00 AM;19.54;12.50;2.64;17.01;39;0;0;0;0;0;0;0;0;0;0
2/1/21 8.00 AM;13.43;13.31;1.42;15.95;27;0;0;0;0;0;0;0;0;0;0
2/1/21 10.00 AM;8.79;11.11;1.32;13.59;18;0;0;0;0;0;0;0;0;0;0
2/1/21 12.00 PM;20.02;7.78;1.23;10.14;40;0;0;0;0;0;0;0;0;0;0
2/1/21 2.00 PM;11.48;8.13;1.33;10.64;23;0;0;0;0;0;0;0;0;0;0
2/1/21 4.00 PM;9.04;4.63;0.45;5.78;18;0;0;0;0;0;0;0;0;0;0
2/1/21 6.00 PM;10.74;9.57;0.60;10.95;21;0;0;0;0;0;0;0;0;0;0
2/1/21 8.00 PM;11.97;14.98;1.58;17.87;24;0;0;0;0;0;0;0;0;0;0
2/1/21 10.00 PM;6.84;24.23;4.77;32.00;16;0;0;0;0;0;0;0;0;0;0
3/1/21 12.00 AM;4.88;14.80;1.06;16.89;10;0;0;0;0;0;0;0;0;0;0
3/1/21 2.00 AM;17.83;3.74;0.21;4.53;36;0;0;0;0;0;0;0;0;0;0
3/1/21 4.00 AM;34.92;1.29;0.07;1.87;70;0;0;0;0;0;0;0;0;0;0
3/1/21 6.00 AM;17.58;2.80;0.31;3.74;35;0;0;0;0;0;0;0;0;0;0
3/1/21 8.00 AM;26.62;7.82;0.54;9.12;53;0;0;0;0;0;0;0;0;0;0
3/1/21 10.00 AM;13.19;9.21;1.26;11.61;26;0;0;0;0;0;0;0;0;0;0
3/1/21 12.00 PM;9.28;10.16;2.28;14.11;19;0;0;0;0;0;0;0;0;0;0
