,clusters
0,3
1,0
2,0
3,0
4,0
5,4
6,0
7,3
8,1
9,4
10,0
11,1
12,0
13,4
14,0
15,0
16,0
17,0
18,0
19,0
20,4
21,0
22,4
23,0
24,4
25,0
26,0
27,2
28,4
29,1
30,4
31,2
32,0
33,0
34,0
35,4
36,4
37,0
38,1
39,4
40,4
41,0
42,0
43,1
44,0
45,1
46,4
47,4
48,2
49,0
50,0
51,0
52,0
53,4
54,1
55,4
56,0
57,0
58,1
59,4
60,4
61,4
62,2
63,0
64,0
65,0
66,4
67,0
68,4
69,0
70,0
71,0
72,2
73,0
74,4
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,4
83,0
84,0
85,2
86,2
87,0
88,4
89,0
90,2
91,0
92,1
93,4
94,4
95,0
96,0
97,4
98,4
99,1
100,2
101,0
102,4
103,4
104,0
105,4
106,0
107,1
108,0
109,0
110,1
111,1
112,4
113,0
114,4
115,4
116,2
117,4
118,4
119,0
120,0
121,1
122,0
123,4
124,0
125,0
126,0
127,0
128,4
129,1
130,1
131,4
132,0
133,4
134,1
135,0
136,1
137,0
138,2
139,0
140,1
141,1
142,4
143,0
144,0
145,1
146,0
147,1
148,3
149,0
150,4
151,0
152,1
153,4
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,2
162,0
163,4
164,0
165,4
166,0
167,2
168,1
169,0
170,4
171,4
172,4
173,4
174,0
175,0
176,4
177,2
178,4
179,2
180,0
181,0
182,0
183,4
184,4
185,0
186,0
187,0
188,0
189,0
190,4
191,4
192,0
193,1
194,2
195,4
196,4
197,4
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,4
207,1
208,0
209,4
210,0
211,0
212,0
213,0
214,4
215,4
216,1
217,1
218,0
219,4
220,3
221,4
222,1
223,0
224,4
225,4
226,1
227,0
228,0
229,0
230,0
231,4
232,0
233,2
234,0
235,4
236,1
237,1
238,2
239,4
240,4
241,0
242,4
243,4
244,4
245,0
246,4
247,4
248,4
249,4
250,0
251,0
252,4
253,0
254,4
255,4
256,0
257,1
258,0
259,0
260,0
261,0
262,0
263,4
264,4
265,1
266,0
267,4
268,4
269,4
270,4
271,0
272,0
273,0
274,1
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,1
286,0
287,0
288,2
289,0
290,0
291,0
292,4
293,0
294,0
295,0
296,4
297,4
298,4
299,1
300,0
301,4
302,4
303,0
304,4
305,0
306,4
307,0
308,0
309,4
310,0
311,4
312,1
313,0
314,4
315,0
316,2
317,0
318,4
319,0
320,0
321,4
322,0
323,4
324,0
325,0
326,4
327,0
328,4
329,0
330,1
331,2
332,0
333,4
334,4
335,2
336,0
337,3
338,4
339,4
340,4
341,0
342,4
343,0
344,2
345,4
346,4
347,2
348,1
349,0
350,2
351,0
352,4
353,0
354,1
355,0
356,4
357,0
358,0
359,0
360,0
361,2
362,0
363,1
364,1
365,4
366,0
367,0
368,4
369,0
370,0
371,4
372,1
373,0
374,0
375,4
376,0
377,0
378,4
379,4
380,0
381,2
382,1
383,0
384,0
385,0
386,4
387,4
388,2
389,0
390,4
391,4
392,1
393,4
394,2
395,0
396,4
397,0
398,4
399,0
400,4
401,1
402,0
403,1
404,2
405,4
406,1
407,0
408,4
409,4
410,4
411,0
412,0
413,0
414,4
415,0
416,0
417,0
418,4
419,1
420,4
421,2
422,4
423,1
424,0
425,0
426,0
427,0
428,0
429,4
430,4
431,4
432,0
433,0
434,0
435,4
436,0
437,2
438,1
439,4
440,0
441,4
442,0
443,1
444,0
445,0
446,1
447,0
448,2
449,0
450,0
451,0
452,1
453,1
454,0
455,0
456,0
457,4
458,4
459,0
460,1
461,0
462,4
463,0
464,0
465,0
466,4
467,4
468,0
469,0
470,4
471,4
472,1
473,0
474,4
475,0
476,1
477,2
478,0
479,0
480,0
481,0
482,4
483,4
484,4
485,0
486,3
487,2
488,0
489,0
490,1
491,4
492,4
493,0
494,0
495,2
496,4
497,0
498,4
499,0
500,4
501,4
502,4
503,0
504,0
505,4
506,0
507,1
508,2
509,4
510,2
511,0
512,4
513,0
514,0
515,4
516,0
517,0
518,2
519,4
520,4
521,0
522,0
523,0
524,0
525,2
526,0
527,3
528,0
529,0
530,0
531,0
532,4
533,0
534,0
535,0
536,0
537,1
538,0
539,2
540,0
541,1
542,4
543,1
544,0
545,0
546,4
547,0
548,4
549,0
550,0
551,4
552,0
553,0
554,4
555,0
556,0
557,1
558,4
559,0
560,1
561,1
562,4
563,4
564,0
565,0
566,4
567,0
568,1
569,0
570,0
571,1
572,4
573,0
574,0
575,4
576,0
577,1
578,0
579,0
580,2
581,0
582,0
583,4
584,1
585,0
586,4
587,1
588,0
589,1
590,4
591,4
592,0
593,4
594,0
595,0
596,0
597,2
598,0
599,0
600,4
601,0
602,4
603,0
604,2
605,0
606,0
607,0
608,0
609,4
610,1
611,0
612,2
613,4
614,4
615,0
616,4
617,0
618,0
619,0
620,0
621,0
622,2
623,0
624,0
625,0
626,4
627,0
628,2
629,0
630,0
631,1
632,4
633,4
634,4
635,4
636,0
637,4
638,1
639,0
640,0
641,4
642,0
643,0
644,0
645,0
646,0
647,0
648,3
649,0
650,0
651,1
652,4
653,2
654,4
655,1
656,1
657,0
658,0
659,4
660,0
661,2
662,0
663,0
664,0
665,4
666,1
667,4
668,4
669,0
670,0
671,0
672,0
673,2
674,1
675,0
676,4
677,0
678,4
679,0
680,2
681,0
682,2
683,1
684,0
685,0
686,4
687,4
688,0
689,4
690,2
691,2
692,2
693,0
694,0
695,2
696,4
697,4
698,2
699,4
700,4
701,0
702,0
703,1
704,2
705,0
706,0
707,0
708,4
709,3
710,4
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,4
722,0
723,0
724,4
725,0
726,0
727,4
728,4
729,4
730,0
731,0
732,0
733,0
734,0
735,2
736,4
737,0
738,1
739,0
740,0
741,4
742,0
743,0
744,0
745,4
746,0
747,0
748,0
749,2
750,0
751,0
752,0
753,2
754,4
755,1
756,1
757,2
758,4
759,1
760,0
761,4
762,4
763,2
764,0
765,4
766,0
767,0
768,1
769,4
770,2
771,4
772,4
773,1
774,0
775,0
776,0
777,0
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,0
786,0
787,0
788,3
789,4
790,4
791,0
792,0
793,0
794,0
795,0
796,4
797,0
798,0
799,0
800,2
801,4
802,0
803,0
804,0
805,1
806,4
807,0
808,0
809,0
810,0
811,4
812,0
813,4
814,4
815,0
816,0
817,1
818,0
819,4
820,4
821,4
822,1
823,0
824,0
825,4
826,4
827,4
828,2
829,0
830,0
831,0
832,0
833,0
834,4
835,0
836,0
837,0
838,1
839,4
840,0
841,1
842,4
843,4
844,1
845,0
846,4
847,1
848,0
849,4
850,0
851,0
852,2
853,2
854,0
855,0
856,4
857,4
858,4
859,0
860,4
861,0
862,2
863,0
864,4
865,4
866,0
867,1
868,0
869,0
870,1
871,4
872,0
873,0
874,0
875,4
876,4
877,0
878,0
879,4
880,0
881,0
882,1
883,2
884,4
885,4
886,4
887,4
888,4
889,0
890,0
891,2
892,0
893,0
894,4
895,0
896,4
897,0
898,2
899,3
900,4
901,2
902,0
903,0
904,0
905,4
906,4
907,0
908,4
909,0
910,0
911,1
912,0
913,1
914,4
915,4
916,4
917,0
918,4
919,0
920,4
921,0
922,0
923,0
924,0
925,4
926,1
927,0
928,0
929,4
930,2
931,0
932,2
933,4
934,1
935,1
936,4
937,2
938,0
939,0
940,0
941,2
942,1
943,2
944,1
945,2
946,4
947,4
948,0
949,4
950,1
951,0
952,4
953,4
954,0
955,4
956,0
957,0
958,0
959,0
960,2
961,4
962,2
963,0
964,4
965,2
966,0
967,0
968,0
969,1
970,0
971,4
972,0
973,1
974,0
975,2
976,0
977,2
978,0
979,0
980,4
981,0
982,0
983,0
984,4
985,1
986,1
987,0
988,0
989,2
990,3
991,4
992,1
993,0
994,4
995,0
996,0
997,0
998,1
999,4
1000,1
1001,0
1002,4
1003,2
1004,2
1005,4
1006,0
1007,1
1008,0
1009,4
1010,0
1011,4
1012,0
1013,2
1014,3
1015,0
1016,4
1017,4
1018,0
1019,1
1020,4
1021,4
1022,4
1023,1
1024,0
1025,0
1026,3
1027,2
1028,0
1029,2
1030,0
1031,0
1032,0
1033,0
1034,0
1035,4
1036,4
1037,4
1038,4
1039,0
1040,2
1041,0
1042,4
1043,0
1044,0
1045,0
1046,0
1047,0
1048,2
1049,0
1050,0
1051,1
1052,0
1053,4
1054,4
1055,4
1056,2
1057,0
1058,4
1059,4
1060,0
1061,0
1062,0
1063,0
1064,4
1065,0
1066,0
1067,4
1068,0
1069,4
1070,0
1071,0
1072,0
1073,4
1074,3
1075,4
1076,4
1077,4
1078,0
1079,2
1080,0
1081,4
1082,2
1083,4
1084,4
1085,0
1086,4
1087,0
1088,0
1089,4
1090,4
1091,4
1092,1
1093,4
1094,4
1095,0
1096,4
1097,4
1098,4
1099,4
1100,0
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,4
1108,0
1109,4
1110,4
1111,0
1112,0
1113,0
1114,1
1115,0
1116,4
1117,4
1118,0
1119,3
1120,4
1121,4
1122,0
1123,0
1124,1
1125,0
1126,1
1127,4
1128,0
1129,4
1130,2
1131,0
1132,2
1133,0
1134,2
1135,4
1136,0
1137,0
1138,4
1139,4
1140,0
1141,3
1142,2
1143,0
1144,0
1145,4
1146,1
1147,4
1148,4
1149,3
1150,0
1151,4
1152,2
1153,0
1154,0
1155,4
1156,4
1157,2
1158,0
1159,2
1160,4
1161,4
1162,0
1163,4
1164,4
1165,4
1166,0
1167,4
1168,4
1169,0
1170,3
1171,4
1172,0
1173,0
1174,0
1175,0
1176,4
1177,2
1178,4
1179,1
1180,4
1181,0
1182,4
1183,0
1184,4
1185,4
1186,0
1187,4
1188,3
1189,0
1190,0
1191,1
1192,4
1193,2
1194,4
1195,4
1196,4
1197,0
1198,0
1199,0
1200,4
1201,4
1202,4
1203,1
1204,0
1205,4
1206,4
1207,0
1208,0
1209,4
1210,4
1211,4
1212,0
1213,2
1214,4
1215,0
1216,1
1217,2
1218,3
1219,2
1220,2
1221,4
1222,0
1223,0
1224,4
1225,4
1226,4
1227,4
1228,0
1229,1
1230,4
1231,4
1232,0
1233,2
1234,0
1235,0
1236,0
1237,4
1238,4
1239,1
1240,0
1241,4
1242,4
1243,2
1244,0
1245,4
1246,4
1247,0
1248,1
1249,4
1250,0
1251,0
1252,0
1253,4
1254,4
1255,3
1256,1
1257,4
1258,0
1259,4
1260,0
1261,0
1262,0
1263,4
1264,4
1265,0
1266,0
1267,1
1268,0
1269,4
1270,0
1271,4
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,4
1281,0
1282,0
1283,4
1284,4
1285,4
1286,0
1287,4
1288,2
1289,4
1290,0
1291,1
1292,4
1293,0
1294,4
1295,4
1296,2
1297,0
1298,0
1299,4
1300,0
1301,0
1302,4
1303,4
1304,2
1305,0
1306,0
1307,4
1308,0
1309,1
1310,1
1311,1
1312,4
1313,0
1314,4
1315,0
1316,0
1317,4
1318,4
1319,2
1320,0
1321,0
1322,3
1323,1
1324,4
1325,0
1326,0
1327,0
1328,0
1329,4
1330,0
1331,4
1332,4
1333,4
1334,0
1335,0
1336,0
1337,4
1338,0
1339,1
1340,0
1341,4
1342,3
1343,4
1344,0
1345,0
1346,0
1347,0
1348,4
1349,0
1350,4
1351,0
1352,4
1353,4
1354,4
1355,4
1356,4
1357,0
1358,2
1359,4
1360,0
1361,4
1362,4
1363,4
1364,0
1365,0
1366,0
1367,0
1368,2
1369,2
1370,0
1371,4
1372,1
1373,0
1374,1
1375,1
1376,0
1377,1
1378,0
1379,4
1380,0
1381,0
1382,0
1383,4
1384,2
1385,0
1386,0
1387,0
1388,2
1389,0
1390,0
1391,0
1392,4
1393,0
1394,4
1395,2
1396,0
1397,4
1398,0
1399,0
1400,1
1401,4
1402,0
1403,4
1404,0
1405,0
1406,0
1407,4
1408,2
1409,0
1410,0
1411,0
1412,4
1413,0
1414,4
1415,1
1416,0
1417,1
1418,4
1419,1
1420,0
1421,4
1422,0
1423,4
1424,4
1425,4
1426,4
1427,4
1428,0
1429,0
1430,4
1431,0
1432,0
1433,4
1434,4
1435,0
1436,0
1437,4
1438,4
1439,4
1440,1
1441,2
1442,4
1443,0
1444,4
1445,0
1446,0
1447,4
1448,4
1449,1
1450,0
1451,4
1452,2
1453,1
1454,2
1455,0
1456,0
1457,4
1458,0
1459,4
1460,0
1461,4
1462,0
1463,0
1464,4
1465,0
1466,0
1467,4
1468,4
1469,0
1470,4
1471,0
1472,0
1473,4
1474,0
1475,4
1476,0
1477,0
1478,0
1479,0
1480,4
1481,0
1482,4
1483,4
1484,0
1485,4
1486,0
1487,0
1488,0
1489,4
1490,4
1491,0
1492,0
1493,0
1494,2
1495,0
1496,2
1497,4
1498,0
1499,1
1500,4
1501,4
1502,0
1503,4
1504,0
1505,4
1506,4
1507,4
1508,0
1509,4
1510,4
1511,1
1512,0
1513,0
1514,4
1515,0
1516,0
1517,0
1518,4
1519,0
1520,0
1521,0
1522,4
1523,1
1524,0
1525,0
1526,0
1527,4
1528,0
1529,0
1530,0
1531,0
1532,2
1533,0
1534,0
1535,0
1536,4
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,4
1544,0
1545,4
1546,4
1547,0
1548,0
1549,4
1550,1
1551,4
1552,4
1553,0
1554,4
1555,4
1556,0
1557,0
1558,4
1559,4
1560,0
1561,4
1562,0
1563,0
1564,4
1565,0
1566,0
1567,2
1568,0
1569,2
1570,1
1571,4
1572,0
1573,4
1574,0
1575,1
1576,0
1577,2
1578,4
1579,1
1580,4
1581,1
1582,1
1583,0
1584,0
1585,2
1586,2
1587,4
1588,4
1589,0
1590,4
1591,4
1592,0
1593,1
1594,4
1595,4
1596,0
1597,0
1598,4
1599,4
1600,4
1601,4
1602,0
1603,0
1604,4
1605,4
1606,0
1607,2
1608,0
1609,0
1610,4
1611,0
1612,1
1613,0
1614,0
1615,4
1616,4
1617,0
1618,4
1619,0
1620,0
1621,1
1622,1
1623,2
1624,1
1625,2
1626,2
1627,0
1628,1
1629,0
1630,0
1631,2
1632,4
1633,0
1634,0
1635,0
1636,0
1637,0
1638,2
1639,0
1640,3
1641,0
1642,4
1643,4
1644,4
1645,4
1646,0
1647,2
1648,4
1649,4
1650,0
1651,0
1652,0
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,4
1660,2
1661,4
1662,0
1663,0
1664,1
1665,0
1666,2
1667,4
1668,4
1669,1
1670,0
1671,4
1672,4
1673,0
1674,4
1675,4
1676,2
1677,4
1678,4
1679,0
1680,0
1681,2
1682,4
1683,4
1684,4
1685,0
1686,4
1687,0
1688,0
1689,0
1690,4
1691,4
1692,4
1693,4
1694,1
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,1
1702,4
1703,2
1704,4
1705,0
1706,4
1707,0
1708,0
1709,0
1710,0
1711,4
1712,3
1713,4
1714,1
1715,4
1716,0
1717,0
1718,1
1719,0
1720,0
1721,0
1722,4
1723,1
1724,1
1725,4
1726,0
1727,0
1728,0
1729,3
1730,0
1731,1
1732,4
1733,3
1734,4
1735,0
1736,4
1737,0
1738,3
1739,2
1740,0
1741,4
1742,0
1743,4
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,4
1751,0
1752,0
