,PM10,NO2,NO,NOX
0,9.0,45.51,33.66,99.14
1,10.0,3.4,0.72,5.5
2,23.0,5.49,0.7,8.58
3,12.0,10.39,0.3,11.32
4,9.0,2.65,0.04,3.19
5,11.0,21.25,1.96,24.71
6,12.0,13.71,0.17,14.44
7,23.0,44.71,30.1,93.89
8,43.0,7.92,1.17,10.18
9,21.0,16.42,3.74,22.62
10,11.0,14.67,3.05,19.07
11,44.0,12.12,2.59,16.56
12,25.0,5.0,0.44,6.15
13,27.0,4.63,0.13,5.3
14,8.0,8.54,1.75,12.61
15,6.0,5.6,0.89,7.43
16,19.0,10.32,1.69,14.61
17,19.0,8.26,1.12,10.44
18,13.0,12.77,0.87,12.78
19,1.0,6.19,0.15,6.88
20,11.0,22.74,1.61,26.54
21,11.0,14.57,4.02,21.2
22,37.0,20.07,11.92,38.82
23,6.0,4.21,0.24,5.04
24,22.0,29.47,1.56,32.32
25,18.0,8.11,1.27,11.85
26,6.0,12.51,2.81,17.28
27,52.0,66.24,5.67,76.15
28,22.0,18.73,0.93,20.57
29,52.0,15.21,3.0,20.28
30,28.0,15.77,2.63,20.27
31,48.0,36.78,19.31,66.84
32,10.0,5.26,0.1,5.88
33,10.0,7.23,1.37,9.8
34,13.0,9.08,2.99,14.12
35,17.0,17.1,6.25,26.33
36,34.0,16.08,1.89,22.06
37,6.0,16.46,3.83,22.79
38,41.0,9.91,1.86,13.22
39,38.0,23.0,3.03,31.57
40,21.0,26.97,5.63,36.06
41,2.0,8.78,1.77,11.39
42,3.0,4.4,0.75,5.87
43,58.0,2.05,0.13,2.72
44,5.0,8.56,0.36,9.02
45,48.0,22.96,5.54,31.92
46,16.0,19.6,2.08,23.25
47,37.0,8.31,2.68,13.12
48,23.0,29.29,11.67,48.32
49,17.0,8.02,2.27,13.23
50,19.0,10.58,0.61,11.91
51,11.0,3.85,0.25,4.7
52,19.0,9.99,0.65,6.82
53,31.0,12.73,3.23,18.01
54,45.0,15.27,1.64,20.86
55,27.0,16.17,4.67,19.56
56,23.0,3.16,0.48,4.36
57,6.0,4.2,1.54,7.53
58,46.0,9.73,0.67,12.09
59,3.0,19.81,5.23,29.42
60,27.0,4.26,0.18,4.99
61,8.0,28.16,2.23,30.01
62,48.0,42.5,9.84,58.04
63,8.0,15.56,2.58,19.97
64,12.0,16.05,3.35,21.65
65,18.0,10.78,3.38,17.25
66,38.0,27.47,7.01,38.68
67,10.0,9.44,1.22,12.69
68,22.0,26.71,4.18,34.63
69,11.0,3.49,0.49,4.71
70,13.0,9.97,1.63,13.0
71,20.0,4.62,1.91,9.37
72,21.0,29.22,11.07,45.79
73,1.0,7.37,1.25,9.74
74,17.0,18.61,10.93,37.35
75,19.0,16.15,2.1,19.83
76,2.0,18.42,2.33,22.45
77,23.0,11.62,0.09,10.43
78,3.0,9.85,2.87,14.71
79,8.0,4.72,0.94,6.17
80,10.0,3.22,0.1,3.84
81,10.0,8.36,1.62,11.31
82,12.0,19.66,3.33,25.23
83,12.0,5.19,0.57,6.54
84,18.0,12.84,1.98,17.67
85,30.0,26.97,6.97,41.69
86,23.0,33.73,12.8,53.81
87,3.0,11.86,3.0,16.28
88,28.0,18.91,0.43,23.36
89,20.0,7.61,0.42,8.72
90,3.0,31.54,10.63,48.31
91,1.0,9.53,2.35,14.48
92,40.0,13.03,2.11,18.43
93,18.0,20.35,8.22,27.46
94,22.0,15.39,2.12,21.17
95,13.0,1.95,0.04,2.48
96,8.0,2.24,1.55,7.97
97,13.0,18.11,9.41,33.79
98,18.0,21.32,4.95,29.99
99,89.0,32.25,5.1,41.87
100,10.0,29.81,8.12,42.85
101,16.0,5.7,1.74,9.94
102,26.0,19.78,13.44,34.91
103,14.0,29.7,1.92,34.31
104,19.0,9.92,1.92,13.32
105,32.0,8.45,1.45,11.01
106,12.0,13.47,2.02,10.62
107,38.0,13.77,0.71,15.32
108,1.0,12.54,2.67,17.1
109,9.0,5.83,0.83,8.72
110,41.0,14.59,1.62,20.85
111,56.0,24.62,5.46,33.45
112,15.0,30.57,1.03,31.33
